field_key,base_field_key,is_disambiguated,canonical_field_key,canonical_note,alias_note,ui_section,ui_label,entity,data_type,unit_format,required,user_editable,derived,schema.table,column
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Valuation > Reconciliation,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_estimate,ai_estimate,False,ai_estimate,,,,,,string,,conditional,conditional,True,,
ai_last_reviewed,ai_last_reviewed,False,ai_last_reviewed,,,Project > Profile,,project,datetime,,conditional,conditional,False,tbl_project,ai_last_reviewed
ai_suggestion_id,ai_suggestion_id,False,ai_suggestion_id,,,Valuation > AI Suggestions,,ai_adjustment_suggestion,integer,,conditional,conditional,False,tbl_ai_adjustment_suggestions,ai_suggestion_id
amenities,amenities,False,amenities,,,Property > Comparable Rentals,,,string,,conditional,conditional,False,,
amount_per_sf,amount_per_sf,False,amount_per_sf,,,Operations > Operating Expenses,,operating_expense,currency,USD/sf,conditional,conditional,False,tbl_operating_expenses,amount_per_sf
analysis_end_date,analysis_end_date,False,analysis_end_date,,,Project > Profile,,project,date,,conditional,conditional,False,tbl_project,analysis_end_date
analysis_start_date,analysis_start_date,False,analysis_start_date,,,Project > Profile,,project,date,,conditional,conditional,False,tbl_project,analysis_start_date
analysis_type,analysis_type,False,analysis_type,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,analysis_type
annual_amount,annual_amount,False,annual_amount,,,Operations > Operating Expenses,,operating_expense,currency,USD/yr,conditional,conditional,False,tbl_operating_expenses,annual_amount
apn,apn,False,apn,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,apn
apn_primary,apn_primary,False,apn_primary,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,apn_primary
apn_secondary,apn_secondary,False,apn_secondary,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,apn_secondary
appliance_cost,appliance_cost,False,appliance_cost,,,Operations > Turns,,turn,currency,,conditional,conditional,False,tbl_multifamily_turn,appliance_cost
appliance_replacement,appliance_replacement,False,appliance_replacement,,,Operations > Operating Expenses,Appliance Repairs & Replacement,operating_expense,decimal,,False,True,False,tbl_operating_expenses,annual_amount
as_of_date,as_of_date,False,as_of_date,,,Property > Comparable Rentals,,,date,,conditional,conditional,False,,
asking_price,asking_price,False,asking_price,,,Project > Profile,,project,currency,,conditional,conditional,False,tbl_project,asking_price
asking_rent,asking_rent,False,asking_rent,,,Property > Comparable Rentals,,,string,,conditional,conditional,False,,
