project_id,parcel_id,legal_amount,closing_cost_amount,title_insurance_amount,commission_amount,total_transaction_costs,net_sale_proceeds,gross_sale_proceeds
159,997,,,,120546.63,170546.63,3847674.37,4018221.00
159,998,,,,244613.73,294613.73,7859177.23,8153790.96
159,999,,,,160163.75,210163.75,5128627.95,5338791.70
159,1000,,,,131199.59,181199.59,4192120.01,4373319.60
159,1001,,,,444276.63,494276.63,14314944.28,14809220.91
159,1002,,,,268292.96,318292.96,8624805.64,8943098.60
159,1004,,,,141786.96,191786.96,4534445.04,4726232.00
159,1005,,,,103959.90,153959.90,3311370.10,3465330.00
159,1008,,,,836352.00,886352.00,26992048.00,27878400.00
159,1009,,,,444312.00,494312.00,14316088.00,14810400.00
159,1010,,,,509652.00,559652.00,16428748.00,16988400.00
159,1011,,,,588060.00,638060.00,18963940.00,19602000.00
159,1012,,,,784080.00,834080.00,25301920.00,26136000.00
159,1014,,,,117779.90,167779.90,3758216.90,3925996.80
